Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
2,7.36,7.36,1,7.06,7.06,3,7.47,7.47,4,7.93,7.93
2,9.03,16.39,1,9.13,16.19,3,9.16,16.63,4,10.22,18.15
2,8.61,25.00,1,8.79,24.98,3,8.71,25.34,4,9.69,27.84
4,24.84,49.84,3,22.76,47.74,1,8.97,34.31,2,9.84,37.68
4,13.66,1:03.491,3,15.32,1:03.051,1,9.22,43.530,2,10.16,47.837
