BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,TIAN Jialong POSITION,TIAN Jialong LAP TIME,TIAN Jialong ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME,TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME
1,9.70,9.70,2,9.84,9.84,5,10.45,10.45,3,10.12,10.12,4,10.31,10.31,6,10.65,10.65
1,12.66,22.36,3,12.65,22.49,5,12.41,22.86,4,12.64,22.76,2,12.14,22.45,6,12.37,23.02
1,11.28,33.64,3,11.38,33.87,4,11.14,34.00,5,11.39,34.15,2,11.33,33.78,6,11.24,34.26
1,10.95,44.59,3,10.94,44.81,4,10.90,44.90,5,10.87,45.02,2,10.94,44.72,6,10.90,45.16
1,10.58,55.17,5,10.75,55.56,3,10.56,55.46,4,10.53,55.55,2,10.61,55.33,6,10.63,55.79
1,10.18,1:05.35,5,10.23,1:05.79,3,10.12,1:05.58,4,10.16,1:05.71,2,10.12,1:05.45,6,10.11,1:05.90
2,9.86,1:15.21,5,9.68,1:15.47,1,9.57,1:15.15,3,9.58,1:15.29,3,9.84,1:15.29,6,9.78,1:15.68
2,9.40,1:24.61,3,9.30,1:24.77,1,9.37,1:24.52,4,9.56,1:24.85,6,9.70,1:24.99,5,9.22,1:24.90
2,9.31,1:33.92,4,9.31,1:34.08,1,9.33,1:33.85,3,9.17,1:34.02,5,9.28,1:34.27,6,9.38,1:34.28
2,9.24,1:43.16,4,9.32,1:43.40,1,9.17,1:43.02,3,9.30,1:43.32,5,9.28,1:43.55,6,9.42,1:43.70
2,9.04,1:52.20,4,9.07,1:52.47,1,9.06,1:52.08,3,9.03,1:52.35,5,9.09,1:52.64,6,9.40,1:53.10
2,8.96,2:01.16,4,9.06,2:01.53,1,8.95,2:01.03,3,9.00,2:01.35,5,9.09,2:01.73,6,9.80,2:02.90
2,9.05,2:10.21,4,9.16,2:10.69,1,9.04,2:10.07,3,9.14,2:10.49,5,9.32,2:11.05,6,10.67,2:13.57
2,9.18,2:19.39,4,9.47,2:20.16,1,9.15,2:19.22,3,9.48,2:19.97,5,9.65,2:20.70,6,11.37,2:24.94
