HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Nikita RADAYEV POSITION,Nikita RADAYEV LAP TIME,Nikita RADAYEV ELAPSED TIME,Tamas RUSZ POSITION,Tamas RUSZ LAP TIME,Tamas RUSZ ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Alexander BUBNOV POSITION,Alexander BUBNOV LAP TIME,Alexander BUBNOV ELAPSED TIME
5,14.16,14.16,2,13.65,13.65,1,13.55,13.55,3,13.83,13.83,4,13.90,13.90
5,18.44,32.60,2,18.29,31.94,1,18.23,31.78,4,18.58,32.41,3,18.25,32.15
5,15.03,47.63,2,15.15,47.09,1,15.19,46.97,4,15.05,47.46,3,15.12,47.27
5,14.36,1:01.99,2,14.37,1:01.46,1,14.35,1:01.32,4,14.35,1:01.81,3,14.33,1:01.60
5,14.08,1:16.07,2,13.98,1:15.44,1,13.91,1:15.23,4,14.10,1:15.91,3,14.01,1:15.61
5,13.17,1:29.24,2,13.27,1:28.71,1,13.32,1:28.55,4,13.16,1:29.07,3,13.24,1:28.85
4,12.51,1:41.75,2,12.78,1:41.49,1,12.83,1:41.38,5,12.74,1:41.81,3,12.76,1:41.61
4,12.28,1:54.03,2,12.32,1:53.81,1,12.32,1:53.70,5,12.41,1:54.22,3,12.32,1:53.93
5,12.07,2:06.10,3,12.09,2:05.90,1,12.06,2:05.76,2,11.57,2:05.79,4,12.01,2:05.94
4,9.81,2:15.91,5,10.25,2:16.15,3,10.09,2:15.85,1,9.66,2:15.45,2,9.86,2:15.80
3,9.09,2:25.00,4,9.28,2:25.43,5,9.91,2:25.76,1,9.32,2:24.77,2,9.09,2:24.89
3,9.14,2:34.14,4,9.45,2:34.88,5,10.28,2:36.04,1,9.22,2:33.99,2,9.17,2:34.06
3,9.30,2:43.44,4,9.72,2:44.60,5,11.00,2:47.04,1,9.33,2:43.32,2,9.36,2:43.42
1,9.00,2:52.438,4,10.09,2:54.681,5,11.39,2:58.429,2,9.53,2:52.849,3,9.52,2:52.933
