FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
2,7.10,7.10,5,7.49,7.49,1,6.85,6.85,3,7.20,7.20,4,7.39,7.39
2,9.04,16.14,4,9.16,16.65,1,8.83,15.68,3,9.03,16.23,4,9.26,16.65
2,8.49,24.63,4,8.61,25.26,1,8.44,24.12,3,8.49,24.72,5,9.19,25.84
3,9.12,33.75,4,8.72,33.98,1,8.59,32.71,2,8.69,33.41,5,9.31,35.15
3,9.11,42.86,4,8.98,42.96,1,8.75,41.46,2,8.87,42.28,5,9.51,44.66
