Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,6.66,6.66,1,6.60,6.60,3,7.03,7.03,4,7.16,7.16
1,9.01,15.67,2,9.12,15.72,3,8.82,15.85,4,8.92,16.08
1,8.38,24.05,2,8.52,24.24,3,8.55,24.40,4,15.91,31.99
1,8.73,32.78,2,8.86,33.10,3,8.75,33.15,4,17.57,49.56
1,8.99,41.770,3,8.92,42.018,2,8.82,41.966,4,11.42,1:00.976
