Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
3,9.75,9.75,2,9.61,9.61,4,9.88,9.88,6,10.24,10.24,5,10.08,10.08,1,9.50,9.50
4,13.09,22.84,3,13.12,22.73,1,12.58,22.46,6,12.97,23.21,5,12.93,23.01,2,13.10,22.60
4,12.75,35.59,3,12.86,35.59,1,12.92,35.38,6,12.63,35.84,5,12.73,35.74,2,12.89,35.49
1,12.51,48.10,2,12.61,48.20,4,12.86,48.24,5,12.55,48.39,6,13.00,48.74,3,12.73,48.22
2,10.84,58.94,1,10.67,58.87,5,10.89,59.13,4,10.73,59.12,6,10.42,59.16,3,10.83,59.05
3,9.90,1:08.84,2,9.89,1:08.76,5,9.91,1:09.04,6,10.02,1:09.14,1,9.36,1:08.52,4,9.89,1:08.94
1,9.43,1:18.27,2,9.69,1:18.45,5,9.59,1:18.63,6,9.51,1:18.65,4,10.08,1:18.60,3,9.60,1:18.54
1,9.43,1:27.70,2,9.39,1:27.84,4,9.42,1:28.05,5,9.55,1:28.20,6,9.71,1:28.31,3,9.40,1:27.94
1,9.35,1:37.05,2,9.36,1:37.20,4,9.41,1:37.46,5,9.33,1:37.53,6,9.32,1:37.63,3,9.38,1:37.32
1,9.18,1:46.23,2,9.13,1:46.33,4,9.18,1:46.64,5,9.21,1:46.74,6,9.21,1:46.84,3,9.14,1:46.46
1,9.10,1:55.33,2,9.10,1:55.43,5,9.22,1:55.86,4,9.00,1:55.74,6,9.13,1:55.97,3,9.08,1:55.54
1,8.96,2:04.29,2,8.88,2:04.31,5,9.30,2:05.16,4,9.09,2:04.83,6,9.31,2:05.28,3,8.98,2:04.52
2,9.22,2:13.51,1,9.08,2:13.39,5,9.28,2:14.44,4,9.27,2:14.10,6,9.62,2:14.90,3,9.20,2:13.72
2,9.07,2:22.580,1,9.12,2:22.502,4,9.31,2:23.750,5,9.67,2:23.763,6,9.87,2:24.769,3,9.47,2:23.181
