WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
2,12.59,12.59,4,12.92,12.92,3,12.70,12.70,1,12.47,12.47
2,9.33,21.92,4,9.25,22.17,3,9.31,22.01,1,9.41,21.88
1,9.07,30.99,3,8.99,31.16,2,9.09,31.10,3,9.28,31.16
1,9.33,40.32,3,9.36,40.52,2,9.31,40.41,4,9.46,40.62
1,9.19,49.51,3,9.15,49.67,2,9.18,49.59,4,9.13,49.75
1,9.16,58.67,3,9.12,58.79,2,9.16,58.75,4,9.16,58.91
3,9.10,1:07.77,1,8.81,1:07.60,2,8.92,1:07.67,4,8.96,1:07.87
3,8.91,1:16.68,1,8.95,1:16.55,2,8.96,1:16.63,4,8.94,1:16.81
3,8.92,1:25.60,2,8.95,1:25.50,1,8.82,1:25.45,4,8.95,1:25.76
