Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,13.90,13.90,4,13.94,13.94,1,13.73,13.73,3,13.92,13.92
2,10.42,24.32,4,15.69,29.64,1,10.49,24.22,3,10.68,24.60
2,9.95,34.28,3,4.72,34.36,1,9.87,34.10,4,9.96,34.57
3,10.02,44.30,2,9.80,44.17,1,9.94,44.05,4,10.09,44.67
1,9.52,53.83,4,10.07,54.25,2,9.78,53.83,3,9.48,54.15
2,9.39,1:03.22,3,9.30,1:03.55,1,9.27,1:03.10,4,9.53,1:03.68
2,9.36,1:12.58,3,9.23,1:12.78,1,9.44,1:12.55,4,9.24,1:12.93
3,9.53,1:22.12,2,9.15,1:21.94,1,9.32,1:21.87,4,9.47,1:22.40
2,9.66,1:31.779,4,10.47,1:32.401,1,9.81,1:31.676,3,9.51,1:31.905
