Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME
6,8.83,8.83,2,8.37,8.37,3,8.46,8.46,4,8.62,8.62,5,8.64,8.64,1,8.24,8.24
6,11.27,20.10,3,11.00,19.37,4,11.17,19.63,1,10.50,19.12,5,11.15,19.79,2,10.96,19.20
6,9.71,29.81,3,9.84,29.21,4,9.75,29.38,1,9.90,29.02,5,9.75,29.54,2,9.91,29.11
6,9.83,39.64,3,9.99,39.20,4,9.95,39.33,1,10.00,39.02,5,9.91,39.45,2,10.02,39.13
6,9.88,49.52,3,9.83,49.03,4,9.85,49.18,1,9.81,48.83,5,9.86,49.31,2,9.79,48.92
6,9.92,59.44,3,9.75,58.78,4,9.72,58.90,1,9.77,58.60,5,9.70,59.01,2,9.77,58.69
6,10.08,1:09.52,3,9.59,1:08.37,4,9.57,1:08.47,1,9.58,1:08.18,5,9.62,1:08.63,2,9.59,1:08.28
6,10.65,1:20.17,2,9.43,1:17.80,3,9.57,1:18.04,1,9.50,1:17.68,5,9.53,1:18.16,4,9.87,1:18.15
6,10.95,1:31.12,2,9.42,1:27.22,3,9.57,1:27.61,1,9.52,1:27.20,4,9.58,1:27.74,5,10.22,1:28.37
6,11.19,1:42.31,2,9.53,1:36.75,3,9.50,1:37.11,1,9.39,1:36.59,4,9.71,1:37.45,5,10.83,1:39.20
6,11.48,1:53.79,2,9.53,1:46.28,3,9.77,1:46.88,1,9.57,1:46.16,4,9.84,1:47.29,5,11.30,1:50.50
6,11.82,2:05.61,2,9.52,1:55.80,3,9.94,1:56.82,1,9.54,1:55.70,4,10.21,1:57.50,5,11.59,2:02.09
6,11.66,2:17.27,2,9.70,2:05.50,3,10.35,2:07.17,1,9.64,2:05.34,4,10.70,2:08.20,5,11.57,2:13.66
6,11.76,2:29.025,2,10.26,2:15.758,3,10.59,2:17.756,1,9.86,2:15.194,4,11.28,2:19.474,5,11.70,2:25.358
