Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,7.12,7.12,3,7.24,7.24,4,7.49,7.49,1,7.03,7.03
3,9.25,16.37,2,8.88,16.12,4,9.30,16.79,1,8.95,15.98
3,8.89,25.26,2,8.50,24.62,4,8.79,25.58,1,8.56,24.54
3,9.05,34.31,2,8.59,33.21,4,8.87,34.45,1,8.52,33.06
3,9.87,44.180,1,8.62,41.827,0,,PEN,2,8.85,41.906
