Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME
3,8.58,8.58,2,8.43,8.43,4,8.71,8.71,6,8.77,8.77,1,8.32,8.32,5,8.74,8.74
4,12.65,21.23,3,12.66,21.09,6,12.80,21.51,2,12.30,21.07,1,12.68,21.00,5,12.62,21.36
4,11.12,32.35,3,11.16,32.25,6,11.08,32.59,1,10.99,32.06,2,11.14,32.14,5,11.09,32.45
5,11.78,44.13,4,11.75,44.00,1,11.03,43.62,2,11.69,43.75,3,11.76,43.90,6,11.74,44.19
5,10.50,54.63,3,10.46,54.46,2,10.83,54.45,4,10.82,54.57,1,10.49,54.39,6,10.53,54.72
6,10.36,1:04.99,1,10.09,1:04.55,3,10.29,1:04.74,4,10.34,1:04.91,2,10.16,1:04.55,5,10.23,1:04.95
6,10.19,1:15.18,1,10.16,1:14.71,3,10.15,1:14.89,4,10.06,1:14.97,2,10.27,1:14.82,5,10.12,1:15.07
6,10.14,1:25.32,2,10.08,1:24.79,3,10.04,1:24.93,4,10.06,1:25.03,1,9.84,1:24.66,5,10.09,1:25.16
6,9.64,1:34.96,2,9.77,1:34.56,3,9.76,1:34.69,4,9.78,1:34.81,1,9.76,1:34.42,5,9.70,1:34.86
6,9.91,1:44.87,2,9.61,1:44.17,3,9.65,1:44.34,4,9.67,1:44.48,1,9.66,1:44.08,5,9.87,1:44.73
5,9.58,1:54.45,1,9.27,1:53.44,3,9.47,1:53.81,4,9.49,1:53.97,2,9.52,1:53.60,6,10.03,1:54.76
5,9.37,2:03.82,1,9.16,2:02.60,3,9.45,2:03.26,4,9.41,2:03.38,2,9.18,2:02.78,6,10.72,2:05.48
5,9.55,2:13.37,1,9.41,2:12.01,3,9.75,2:13.01,4,9.76,2:13.14,2,9.34,2:12.12,6,11.40,2:16.88
4,9.91,2:23.279,2,9.77,2:21.778,5,10.66,2:23.662,3,10.08,2:23.215,1,9.60,2:21.718,6,11.72,2:28.598
