ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,Juliette BRINDAMOUR POSITION,Juliette BRINDAMOUR LAP TIME,Juliette BRINDAMOUR ELAPSED TIME,Olivia WEEDON POSITION,Olivia WEEDON LAP TIME,Olivia WEEDON ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,Risa SHINOHARA POSITION,Risa SHINOHARA LAP TIME,Risa SHINOHARA ELAPSED TIME
3,8.95,8.95,1,8.84,8.84,5,9.08,9.08,2,8.92,8.92,4,9.06,,6,9.32,9.32
3,12.55,21.50,1,12.45,21.29,4,12.52,21.60,2,12.48,21.40,5,12.65,,6,12.57,21.89
3,12.54,34.04,1,12.52,33.81,4,12.57,34.17,2,12.53,33.93,5,12.58,,6,12.57,34.46
4,12.28,46.32,1,12.30,46.11,6,12.26,46.43,2,12.29,46.22,3,12.02,,5,11.96,46.42
5,10.82,57.14,3,10.83,56.94,6,10.85,57.28,4,10.83,57.05,1,10.32,,2,10.32,56.74
5,10.28,1:07.42,3,10.36,1:07.30,6,10.30,1:07.58,4,10.35,1:07.40,1,10.51,,2,10.48,1:07.22
1,10.04,1:17.46,3,10.47,1:17.77,6,10.53,1:18.11,5,10.52,1:17.92,2,10.54,,4,10.68,1:17.90
1,10.00,1:27.46,2,9.76,1:27.53,6,10.43,1:28.54,4,9.73,1:27.65,3,9.86,,5,9.87,1:27.77
5,10.53,1:37.99,1,10.08,1:37.61,6,10.66,1:39.20,3,10.05,1:37.70,2,10.15,,4,10.20,1:37.97
5,10.47,1:48.46,1,10.12,1:47.73,6,11.09,1:50.29,1,10.03,1:47.73,3,10.16,,4,9.97,1:47.94
5,10.92,1:59.38,3,10.23,1:57.96,6,11.66,2:01.95,1,9.91,1:57.64,2,9.93,,4,10.11,1:58.05
5,11.30,2:10.68,3,10.24,2:08.20,6,12.09,2:14.04,1,10.37,2:08.01,2,10.32,,4,10.32,2:08.37
5,11.82,2:22.50,3,10.54,2:18.74,6,12.51,2:26.55,1,10.50,2:18.51,2,10.50,,4,10.50,2:18.87
3,12.20,2:34.70,6,23.51,2:42.25,5,12.68,2:39.23,1,10.65,2:29.16,2,10.64,,4,17.26,2:36.13
