Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
3,,17.321,2,,17.282,4,,17.458,1,,17.162
1,9.074,26.395,2,9.162,26.444,4,9.230,26.687,3,9.294,26.455
2,9.517,35.911,3,9.533,35.977,4,9.550,36.236,1,9.416,35.871
1,9.72,45.628,3,9.85,45.820,4,9.89,46.125,2,9.87,45.735
