SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME
3,7.09,7.09,1,6.98,6.98,2,7.04,7.04,4,7.21,7.21
1,8.85,15.94,2,9.11,16.10,4,9.64,16.68,3,9.19,16.40
1,8.49,24.43,2,8.94,25.04,4,8.70,25.38,3,8.97,25.37
1,9.01,33.45,2,8.88,33.92,4,8.89,34.28,3,8.80,34.18
1,9.13,42.576,2,9.35,43.265,3,9.05,43.327,4,9.31,43.485
