AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Alexander ZHELEZNOV POSITION,Alexander ZHELEZNOV LAP TIME,Alexander ZHELEZNOV ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
2,12.810,12.810,5,13.130,13.130,1,12.540,12.540,4,13.050,13.050,3,13.040,13.040
3,9.650,22.460,1,8.930,22.060,5,10.800,23.340,2,9.290,22.340,4,9.520,22.560
3,9.440,31.900,1,9.190,31.260,5,9.390,32.740,2,9.110,31.450,4,9.520,32.090
3,9.260,41.170,4,11.110,42.370,5,37.170,1:09.910,1,9.280,40.740,2,9.020,41.110
3,9.220,50.390,1,7.820,50.190,5,13.170,1:23.090,2,9.450,50.200,4,9.730,50.850
1,9.390,59.790,3,9.700,59.900,5,11.270,1:34.370,2,9.610,59.810,4,9.490,1:00.340
2,9.860,1:09.660,1,9.720,1:09.620,5,11.210,1:45.580,3,10.040,1:09.860,4,9.740,1:10.090
1,9.090,1:18.750,3,10.200,1:19.830,5,10.600,1:56.190,2,9.130,1:18.990,4,10.880,1:20.970
1,9.500,1:28.260,3,9.850,1:29.680,5,11.070,2:07.260,2,9.480,1:28.470,4,10.620,1:31.600
