LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,9.63,9.63,3,9.93,9.93,5,10.16,10.16,2,9.79,9.79,4,10.07,10.07
2,14.96,24.59,5,14.91,24.84,1,14.31,24.47,3,14.91,24.70,4,14.68,24.75
3,12.20,36.79,5,12.26,37.10,2,12.18,36.65,1,11.94,36.64,4,12.05,36.80
4,11.32,48.11,5,11.19,48.29,1,11.21,47.86,2,11.22,47.86,3,11.15,47.95
4,10.82,58.93,5,10.75,59.04,1,10.73,58.59,2,10.85,58.71,3,10.87,58.82
4,10.56,1:09.49,5,10.63,1:09.67,1,10.78,1:09.37,3,10.77,1:09.48,2,10.65,1:09.47
1,9.62,1:19.11,3,9.59,1:19.26,2,9.83,1:19.20,5,9.89,1:19.37,4,9.81,1:19.28
2,9.84,1:28.95,1,9.63,1:28.89,3,9.84,1:29.04,5,9.79,1:29.16,4,9.87,1:29.15
1,9.64,1:38.59,2,9.84,1:38.73,3,9.81,1:38.85,5,9.89,1:39.05,4,9.80,1:38.95
1,9.44,1:48.03,2,9.43,1:48.16,3,9.44,1:48.29,5,9.65,1:48.70,4,9.46,1:48.41
1,9.22,1:57.25,2,9.19,1:57.35,3,9.14,1:57.43,5,9.50,1:58.20,4,9.14,1:57.55
1,9.11,2:06.36,2,9.11,2:06.46,3,9.13,2:06.56,5,9.98,2:08.18,4,9.17,2:06.72
1,9.21,2:15.57,2,9.19,2:15.65,3,9.21,2:15.77,5,10.71,2:18.89,4,9.29,2:16.01
1,9.41,2:24.979,2,9.45,2:25.094,3,9.37,2:25.135,5,11.43,2:30.317,4,9.80,2:25.804
