Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Andrey MIKHASIOV POSITION,Andrey MIKHASIOV LAP TIME,Andrey MIKHASIOV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,7.04,7.04,2,6.94,6.94,1,6.74,6.74,4,7.24,7.24
3,8.91,15.95,2,8.93,15.87,1,8.68,15.42,4,8.90,16.14
2,8.42,24.37,3,8.51,24.38,1,8.47,23.89,4,8.40,24.54
2,8.48,32.85,3,8.87,33.25,1,8.68,32.57,4,15.65,40.19
2,8.60,41.449,3,8.98,42.224,1,8.84,41.406,0,,notime
