KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
2,12.40,12.40,3,12.57,12.57,1,12.32,12.32,4,12.67,12.67
2,10.06,22.46,3,10.00,22.57,1,10.05,22.37,4,9.99,22.66
2,10.16,32.62,3,10.18,32.75,1,10.18,32.55,4,10.19,32.85
2,10.02,42.64,3,10.03,42.78,1,10.04,42.59,4,10.02,42.87
2,9.60,52.24,4,9.63,52.41,1,9.59,52.18,3,9.46,52.33
2,9.27,1:01.51,4,9.32,1:01.73,1,9.25,1:01.43,3,9.29,1:01.62
3,9.52,1:11.03,4,9.32,1:11.05,1,9.50,1:10.93,2,9.37,1:10.99
2,9.66,1:20.69,1,9.11,1:20.16,4,10.29,1:21.22,3,9.77,1:20.76
2,9.43,1:30.115,1,9.33,1:29.488,4,10.84,1:32.055,3,10.04,1:30.795
