Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
3,13.45,13.45,2,13.26,13.26,1,13.13,13.13,4,13.60,13.60
3,10.54,23.99,2,10.64,23.90,1,10.65,23.78,4,10.52,24.12
3,10.23,34.22,2,10.22,34.12,1,10.26,34.04,4,10.21,34.33
1,9.78,44.00,3,10.05,44.17,2,10.00,44.04,4,9.96,44.29
1,9.65,53.65,4,9.67,53.84,3,9.70,53.74,2,9.44,53.73
2,9.08,1:02.73,4,9.15,1:02.99,3,9.15,1:02.89,1,8.85,1:02.58
2,8.69,1:11.42,4,8.73,1:11.72,3,8.73,1:11.62,1,8.83,1:11.41
1,8.78,1:20.20,4,8.74,1:20.46,3,8.70,1:20.32,2,8.86,1:20.27
2,9.34,1:29.539,4,9.72,1:30.177,3,9.24,1:29.560,1,9.01,1:29.278
