Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
3,13.27,13.27,2,13.19,13.19,4,13.27,13.27,1,13.04,13.04
3,9.95,23.23,2,9.78,22.98,1,9.57,22.85,4,10.41,23.46
3,9.82,33.05,2,9.88,32.86,1,9.97,32.83,4,9.80,33.27
3,10.15,43.20,2,10.18,43.04,1,10.13,42.96,4,10.03,43.30
3,10.04,53.25,2,10.16,53.20,1,10.14,53.11,4,10.17,53.48
1,9.27,1:02.52,3,9.49,1:02.70,2,9.48,1:02.60,4,9.34,1:02.83
1,9.00,1:11.52,4,26.97,1:29.67,2,9.51,1:12.12,3,22.53,1:25.36
1,9.98,1:21.51,4,24.06,1:53.73,2,9.76,1:21.89,3,26.79,1:52.15
1,10.73,1:32.234,0,,DQ,2,11.34,1:33.226,0,,DQ
