Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,6.93,6.93,1,6.63,6.63,3,6.99,6.99,4,7.18,7.18
2,9.03,15.97,1,9.03,15.67,3,9.10,16.10,4,9.02,16.21
1,8.51,24.49,2,8.98,24.65,4,8.95,25.05,3,8.51,24.72
1,8.96,33.45,2,8.80,33.45,4,8.95,34.00,3,9.02,33.75
1,9.28,42.728,4,31.12,1:04.562,3,9.16,43.152,2,9.19,42.935
