Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
2,13.39,13.39,1,13.29,13.29,3,13.50,13.50,4,13.51,13.51
2,9.96,23.35,1,9.95,23.24,4,10.10,23.60,3,9.99,23.50
2,9.49,32.84,1,9.60,32.84,4,9.54,33.14,3,9.51,33.01
1,8.99,41.83,2,9.11,41.95,4,9.06,42.20,3,9.13,42.14
1,8.91,50.74,2,8.89,50.84,3,8.90,51.10,4,9.17,51.31
1,8.85,59.59,2,8.84,59.68,3,8.92,1:00.02,4,8.94,1:00.25
1,8.84,1:08.43,2,8.88,1:08.56,4,9.25,1:09.27,3,8.90,1:09.15
1,8.99,1:17.42,2,9.00,1:17.56,4,9.17,1:18.44,3,9.20,1:18.35
1,9.15,1:26.564,2,9.41,1:26.963,4,9.44,1:27.875,3,9.48,1:27.827
