TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
1,9.31,9.31,5,10.19,10.19,4,9.89,9.89,6,10.32,10.32,2,9.50,9.50,3,9.71,9.71
1,11.58,20.89,5,11.28,21.47,4,11.37,21.26,6,11.26,21.58,2,11.50,21.00,3,11.43,21.14
1,10.68,31.57,5,10.57,32.04,4,10.61,31.87,6,10.58,32.16,2,10.65,31.65,3,10.62,31.76
1,10.60,42.17,5,10.61,42.65,4,10.59,42.46,6,10.59,42.75,2,10.62,42.27,3,10.61,42.37
1,10.61,52.78,5,10.56,53.21,4,10.61,53.07,6,10.55,53.30,3,10.67,52.94,2,10.48,52.85
1,10.33,1:03.11,5,10.41,1:03.62,4,10.38,1:03.45,6,10.41,1:03.71,3,10.41,1:03.35,2,10.42,1:03.27
1,10.35,1:13.46,5,10.30,1:13.92,4,10.31,1:13.76,6,10.31,1:14.02,3,10.32,1:13.67,2,10.32,1:13.59
1,10.08,1:23.54,5,10.19,1:24.11,4,10.19,1:23.95,6,10.22,1:24.24,3,10.19,1:23.86,2,10.15,1:23.74
1,9.88,1:33.42,4,9.66,1:33.77,2,9.65,1:33.60,6,9.97,1:34.21,4,9.91,1:33.77,3,9.90,1:33.64
3,9.93,1:43.35,2,9.57,1:43.34,1,9.51,1:43.11,6,10.26,1:44.47,5,10.03,1:43.80,4,10.05,1:43.69
3,9.75,1:53.10,2,9.48,1:52.82,1,9.57,1:52.68,6,10.57,1:55.04,4,10.02,1:53.82,5,10.38,1:54.07
3,9.90,2:03.00,1,9.73,2:02.55,2,9.90,2:02.58,6,11.15,2:06.19,4,10.40,2:04.22,5,10.80,2:04.87
3,10.20,2:13.20,1,10.02,2:12.57,2,10.10,2:12.68,6,11.64,2:17.83,4,10.73,2:14.95,5,11.40,2:16.27
3,10.58,2:23.789,1,10.19,2:22.766,2,10.27,2:22.952,6,12.19,2:30.025,4,11.27,2:26.228,5,11.75,2:28.026
