Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
2,16.625,16.625,1,16.560,16.560,3,16.867,16.867,4,17.078,17.078
1,13.482,30.106,2,13.620,30.180,3,13.505,30.372,4,13.429,30.506
2,12.700,42.806,1,12.622,42.801,3,12.725,43.096,4,12.652,43.158
3,11.053,53.859,2,11.055,53.856,1,10.600,53.695,4,10.837,53.994
2,10.127,1:03.986,1,9.933,1:03.788,3,10.301,1:03.996,4,10.053,1:04.047
3,9.452,1:13.437,1,9.449,1:13.237,2,9.405,1:13.401,4,9.466,1:13.512
2,9.429,1:22.866,1,9.531,1:22.767,4,9.728,1:23.129,3,9.480,1:22.992
2,9.334,1:32.200,1,9.355,1:32.122,4,9.965,1:33.093,3,9.364,1:32.355
2,10.04,1:42.240,1,9.81,1:41.928,4,9.96,1:43.049,3,9.91,1:42.260
