Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME
4,13.384,13.384,3,13.202,13.202,2,12.981,12.981,1,12.706,12.706
2,9.804,23.187,4,10.420,23.621,3,10.561,23.542,1,10.409,23.115
3,10.041,33.228,4,9.690,33.311,2,9.678,33.219,1,9.507,32.622
2,9.630,42.857,4,9.667,42.977,1,9.618,42.836,3,10.295,42.916
1,9.493,52.350,4,9.623,52.599,3,9.630,52.466,2,9.534,52.450
2,9.462,1:01.811,4,9.564,1:02.163,3,9.624,1:02.089,1,9.250,1:01.700
1,9.430,1:11.241,4,9.248,1:11.410,3,9.253,1:11.342,2,9.583,1:11.282
2,9.376,1:20.617,3,9.454,1:20.863,4,9.590,1:20.931,1,9.151,1:20.432
1,9.82,1:30.433,3,9.74,1:30.600,2,9.55,1:30.477,4,10.40,1:30.830
