Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,9.750,9.750,5,10.318,10.318,2,9.925,9.925,3,10.030,10.030,4,10.030,10.030
1,13.080,22.830,4,12.831,23.149,3,13.199,23.123,2,12.960,22.990,5,13.170,23.200
1,12.541,35.370,4,12.628,35.777,2,12.258,35.382,3,12.577,35.567,5,12.616,35.816
1,12.535,47.906,5,12.606,48.383,3,12.731,48.112,2,12.519,48.086,4,12.479,48.295
1,12.384,1:00.290,5,12.289,1:00.672,2,12.256,1:00.368,3,12.300,1:00.386,4,12.343,1:00.638
1,11.886,1:12.175,5,11.986,1:12.658,2,11.861,1:12.229,3,11.921,1:12.307,4,11.871,1:12.509
3,11.091,1:23.267,5,10.994,1:23.651,1,10.998,1:23.227,2,10.944,1:23.251,4,11.095,1:23.604
1,10.650,1:33.917,4,10.664,1:34.316,3,11.034,1:34.262,2,10.856,1:34.107,5,10.763,1:34.367
1,10.415,1:44.332,4,10.225,1:44.541,2,10.074,1:44.336,3,10.305,1:44.412,5,10.412,1:44.779
1,9.871,1:54.203,3,9.868,1:54.409,4,10.126,1:54.462,2,9.915,1:54.327,5,10.248,1:55.028
3,10.096,2:04.299,1,9.583,2:03.991,4,10.178,2:04.640,2,9.969,2:04.296,5,10.700,2:05.728
2,10.175,2:14.474,1,10.067,2:14.058,4,10.381,2:15.021,3,10.436,2:14.732,5,11.349,2:17.077
2,10.514,2:24.988,1,10.366,2:24.424,4,11.177,2:26.198,3,10.705,2:25.437,5,11.985,2:29.062
2,10.939,2:35.927,1,11.047,2:35.471,4,11.921,2:38.119,3,11.546,2:36.983,5,12.333,2:41.394
