SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
4,8.76,8.76,1,8.09,8.09,3,8.55,8.55,2,8.43,8.43,6,8.91,8.91,5,8.81,8.81
4,11.78,20.55,1,12.05,20.14,2,11.79,20.34,3,11.94,20.38,5,11.82,20.74,6,12.32,21.14
4,11.24,31.79,1,11.26,31.41,2,11.23,31.58,3,11.20,31.58,5,11.11,31.85,6,10.71,31.86
4,11.69,43.49,2,11.66,43.07,3,11.58,43.16,1,11.41,43.00,5,11.72,43.57,6,11.79,43.65
6,11.45,54.94,3,11.42,54.49,1,11.29,54.46,2,11.48,54.48,5,11.09,54.67,4,10.96,54.62
6,10.06,1:05.00,1,9.97,1:04.46,4,10.29,1:04.76,3,10.22,1:04.71,2,9.96,1:04.63,5,10.33,1:04.96
1,9.29,1:14.30,2,9.96,1:14.43,4,10.19,1:14.95,5,10.38,1:15.10,6,10.58,1:15.21,3,9.88,1:14.85
3,10.11,1:24.42,1,9.82,1:24.26,2,9.33,1:24.28,6,9.83,1:24.94,5,9.60,1:24.82,4,9.71,1:24.56
4,9.92,1:34.34,2,9.90,1:34.16,1,9.71,1:33.99,5,9.59,1:34.53,3,9.41,1:34.23,6,10.78,1:35.35
4,9.50,1:43.85,2,9.47,1:43.64,1,9.63,1:43.63,6,9.55,1:44.09,3,9.50,1:43.74,5,8.56,1:43.91
3,9.27,1:53.13,2,9.22,1:52.86,1,9.10,1:52.73,6,9.34,1:53.43,5,9.53,1:53.28,4,9.24,1:53.16
3,9.05,2:02.18,2,9.24,2:02.10,1,9.21,2:01.94,5,9.00,2:02.43,6,9.62,2:02.91,4,9.12,2:02.28
1,8.83,2:11.02,3,9.39,2:11.49,2,9.39,2:11.34,5,9.26,2:11.69,6,9.88,2:12.79,4,9.25,2:11.53
1,9.49,2:20.506,4,9.65,2:21.137,2,9.73,2:21.061,3,9.41,2:21.098,6,10.97,2:23.759,5,9.80,2:21.326
