Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Tatiana ZIMOVA POSITION,Tatiana ZIMOVA LAP TIME,Tatiana ZIMOVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
1,7.352,7.352,2,7.429,7.429,4,7.849,7.849,3,7.560,7.560
3,10.102,17.453,1,9.721,17.149,4,10.064,17.912,2,9.874,17.434
3,9.845,27.297,1,9.547,26.695,4,9.713,27.625,2,9.497,26.931
3,9.927,37.224,1,9.977,36.672,4,9.780,37.405,2,9.744,36.674
3,10.24,47.459,1,10.20,46.870,4,10.11,47.514,2,10.32,46.989
