JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
1,16.28,16.28,3,16.37,16.37,2,16.34,16.34
1,12.07,28.36,3,12.09,28.47,2,12.09,28.44
1,11.44,39.81,3,11.36,39.83,2,11.37,39.82
2,10.72,50.53,3,10.78,50.62,1,10.44,50.26
2,10.83,1:01.36,3,10.86,1:01.49,1,10.82,1:01.09
2,10.84,1:12.21,3,10.82,1:12.31,1,10.94,1:12.03
1,9.90,1:22.12,3,10.16,1:22.47,2,10.21,1:22.25
1,9.41,1:31.54,3,9.81,1:32.29,2,9.68,1:31.94
1,9.61,1:41.148,3,9.75,1:42.038,2,9.92,1:41.856
