Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,KIM Hanwool POSITION,KIM Hanwool LAP TIME,KIM Hanwool ELAPSED TIME
2,6.90,6.90,1,6.78,6.78,3,7.05,7.05,4,7.20,7.20
2,8.77,15.67,1,8.78,15.56,3,8.77,15.82,4,8.72,15.92
2,8.21,23.88,1,8.31,23.87,3,8.19,24.01,4,8.24,24.16
4,19.92,43.80,3,15.27,39.14,2,8.63,32.64,1,8.45,32.61
4,11.03,53.85,3,14.71,53.85,2,9.02,41.66,1,8.72,41.33
