ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME
2,6.94,6.94,1,6.78,6.78,3,7.06,7.06,4,7.21,7.21
1,8.89,15.83,2,9.06,15.84,3,8.93,15.99,4,8.99,16.20
1,8.48,24.31,2,8.68,24.52,3,8.60,24.59,4,8.67,24.87
1,8.57,32.88,2,8.64,33.16,3,8.73,33.32,4,8.78,33.65
1,8.70,41.58,2,8.71,41.87,3,8.70,42.024,4,9.00,42.658
