Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,8.57,8.57,4,8.84,8.84,3,8.69,8.69,5,9.09,9.09,2,8.65,8.65
1,12.24,20.81,4,12.27,21.11,3,12.31,21.00,5,12.17,21.26,2,12.25,20.90
1,12.27,33.08,4,12.25,33.36,3,12.25,33.25,5,12.29,33.55,2,12.25,33.15
2,12.48,45.56,4,12.45,45.81,3,12.45,45.70,5,12.43,45.98,1,12.31,45.46
2,12.31,57.87,4,12.28,58.09,3,12.30,58.00,5,12.27,58.25,1,12.28,57.74
3,12.04,1:09.91,4,11.95,1:10.04,2,11.90,1:09.90,5,11.96,1:10.21,1,12.06,1:09.80
4,10.60,1:20.51,3,10.30,1:20.34,1,10.08,1:19.98,5,10.52,1:20.73,2,10.38,1:20.18
4,10.15,1:30.66,3,10.18,1:30.52,2,10.41,1:30.39,5,10.08,1:30.81,1,10.19,1:30.37
4,10.50,1:41.16,3,10.55,1:41.07,2,10.58,1:40.97,5,10.52,1:41.33,1,10.53,1:40.90
5,10.71,1:51.87,4,10.71,1:51.78,3,10.75,1:51.72,1,10.29,1:51.62,2,10.75,1:51.65
5,10.59,2:02.46,4,10.54,2:02.32,3,10.54,2:02.26,1,9.56,2:01.18,2,10.56,2:02.21
5,39.70,2:42.16,4,10.84,2:13.16,2,10.21,2:12.47,1,9.74,2:10.92,3,10.81,2:13.02
5,19.82,3:01.98,4,11.17,2:24.33,2,10.36,2:22.83,1,10.07,2:20.99,3,11.19,2:24.21
5,12.43,3:14.410,3,11.41,2:35.737,2,10.70,2:33.522,1,10.71,2:31.691,4,11.66,2:35.869
