PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
3,8.90,8.90,1,8.63,8.63,2,8.78,8.78,4,9.01,9.01,5,9.20,9.20
3,12.13,21.03,2,12.19,20.82,1,11.95,20.73,4,12.12,21.13,5,12.02,21.22
4,11.97,33.00,2,11.95,32.77,1,11.93,32.66,5,11.97,33.10,3,11.68,32.90
4,11.54,44.54,2,11.53,44.30,1,11.55,44.21,5,11.53,44.63,3,11.52,44.42
4,11.58,56.12,3,11.57,55.87,1,11.54,55.75,5,11.58,56.21,2,11.40,55.82
4,11.12,1:07.24,2,11.01,1:06.88,1,11.01,1:06.76,5,11.13,1:07.34,3,11.17,1:06.99
4,10.59,1:17.83,2,10.62,1:17.50,1,10.66,1:17.42,5,10.60,1:17.94,3,10.63,1:17.62
4,10.37,1:28.20,2,10.45,1:27.95,1,10.43,1:27.85,5,10.37,1:28.31,3,10.42,1:28.04
4,10.48,1:38.68,2,10.51,1:38.46,1,10.53,1:38.38,5,10.45,1:38.76,3,10.55,1:38.59
4,10.75,1:49.43,2,10.79,1:49.25,1,10.76,1:49.14,5,10.80,1:49.56,3,10.73,1:49.32
2,9.87,1:59.30,4,10.34,1:59.59,3,10.34,1:59.48,5,10.08,1:59.64,1,9.89,1:59.21
2,9.90,2:09.20,5,10.25,2:09.84,3,10.04,2:09.52,4,10.00,2:09.64,1,9.91,2:09.12
2,10.03,2:19.23,5,10.28,2:20.12,3,10.06,2:19.58,4,10.06,2:19.70,1,10.07,2:19.19
1,9.66,2:28.888,5,10.88,2:30.998,3,10.34,2:29.915,4,10.31,2:30.009,2,10.17,2:29.352
