Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME
1,9.29,9.29,5,9.66,9.66,2,9.30,,4,9.48,,6,9.82,9.82,3,9.40,9.40
3,12.33,21.62,5,12.37,22.03,2,12.31,,1,11.93,,6,12.37,22.19,4,12.37,21.77
1,11.11,32.73,5,11.22,33.25,2,11.20,,3,11.42,,6,11.19,33.38,4,11.20,32.97
1,10.87,43.60,5,10.95,44.20,2,10.90,,3,10.89,,6,10.95,44.33,4,10.98,43.95
1,10.42,54.02,6,10.54,54.74,2,10.41,,3,10.55,,5,10.25,54.58,4,10.46,54.41
1,10.17,1:04.19,6,9.87,1:04.61,2,10.14,,3,10.01,,4,9.83,1:04.41,5,10.02,1:04.43
1,9.78,1:13.97,3,9.63,1:14.24,6,10.64,,5,10.24,,2,9.70,1:14.11,4,9.95,1:14.38
1,9.74,1:23.71,3,9.70,1:23.94,6,9.59,,4,9.66,,2,9.71,1:23.82,5,9.91,1:24.29
1,9.57,1:33.28,3,9.55,1:33.49,6,9.44,,4,9.52,,2,9.56,1:33.38,5,9.57,1:33.86
1,9.39,1:42.67,3,9.47,1:42.96,6,9.51,,4,9.53,,2,9.39,1:42.77,5,9.48,1:43.34
1,9.37,1:52.04,3,9.35,1:52.31,6,9.56,,5,9.71,,2,9.36,1:52.13,4,9.53,1:52.87
1,9.42,2:01.46,3,9.54,2:01.85,6,10.22,,5,10.18,,2,9.41,2:01.54,4,9.97,2:02.84
2,9.68,2:11.14,3,9.92,2:11.77,6,10.66,,5,10.66,,1,9.58,2:11.12,4,10.21,2:13.05
2,10.00,2:21.14,3,10.34,2:22.11,5,11.18,,6,11.32,,1,9.77,2:20.89,4,10.64,2:23.693
