Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Ainara EQUISOAIN POSITION,Ainara EQUISOAIN LAP TIME,Ainara EQUISOAIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
2,7.56,7.56,4,8.19,8.19,1,7.53,7.53,3,7.95,7.95
1,9.74,17.30,4,10.40,18.59,2,9.90,17.43,3,9.61,17.56
1,9.30,26.60,4,10.08,28.67,2,9.28,26.71,3,9.26,26.82
2,9.37,35.97,4,10.25,38.92,1,9.14,35.85,3,9.27,36.09
2,9.44,45.407,4,10.72,49.632,1,9.37,45.214,3,9.47,45.554
