Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,Kyoko TATSUMI POSITION,Kyoko TATSUMI LAP TIME,Kyoko TATSUMI ELAPSED TIME,Marta PASKEVICA POSITION,Marta PASKEVICA LAP TIME,Marta PASKEVICA ELAPSED TIME
3,16.01,16.01,2,15.89,15.89,1,15.82,15.82,4,16.21,16.21
3,11.57,27.58,2,11.55,27.44,1,11.51,27.33,4,11.48,27.69
3,11.50,39.08,2,11.50,38.94,1,11.51,38.84,4,11.50,39.19
3,11.17,50.25,2,11.24,50.18,1,11.23,50.07,4,11.23,50.42
1,10.20,1:00.45,3,10.51,1:00.69,2,10.50,1:00.57,4,10.56,1:00.98
1,10.12,1:10.57,3,10.03,1:10.72,2,10.06,1:10.63,4,10.53,1:11.51
1,10.19,1:20.76,3,10.29,1:21.01,2,10.21,1:20.84,4,10.74,1:22.25
1,10.38,1:31.14,3,10.82,1:31.83,2,10.41,1:31.25,4,10.92,1:33.17
1,10.60,1:41.737,3,11.14,1:42.962,2,10.74,1:41.982,4,11.29,1:44.459
