Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME
2,7.01,7.01,1,6.95,6.95,3,7.12,7.12,4,7.20,7.20
2,9.27,16.28,1,9.20,16.15,3,9.30,16.42,4,9.32,16.52
2,8.60,24.88,1,8.63,24.78,3,8.60,25.02,4,8.75,25.27
1,8.61,33.49,2,8.84,33.62,3,8.68,33.70,4,8.77,34.04
1,8.87,42.356,2,8.81,42.428,3,8.89,42.581,4,9.02,43.053
