Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
2,13.389,13.389,0,,,4,13.689,13.689,5,32.131,32.131,1,13.053,13.053,3,13.417,13.417
2,19.118,32.508,0,,,4,18.940,32.628,5,16.365,48.497,1,19.113,32.165,3,19.161,32.579
2,16.398,48.906,0,,,4,16.453,49.081,0,,,1,16.462,48.627,3,16.379,48.957
3,15.649,1:04.555,0,,,5,15.713,1:04.794,1,,1:04.229,2,15.657,1:04.284,4,15.648,1:04.606
3,14.928,1:19.482,0,,,5,14.940,1:19.734,1,14.990,1:19.219,2,15.008,1:19.292,4,15.005,1:19.611
4,14.697,1:34.179,0,,,3,14.389,1:34.123,1,14.651,1:33.870,2,14.608,1:33.901,5,14.672,1:34.283
3,12.697,1:46.876,0,,,4,12.820,1:46.943,2,12.892,1:46.762,1,12.843,1:46.743,5,12.772,1:47.055
3,10.711,1:57.587,0,,,5,10.742,1:57.685,1,10.630,1:57.392,2,10.691,1:57.434,4,10.543,1:57.597
4,10.750,2:08.337,0,,,5,10.723,2:08.408,1,10.654,2:08.046,2,10.614,2:08.048,3,10.737,2:08.334
3,10.333,2:18.670,0,,,4,10.324,2:18.732,2,10.561,2:18.607,1,10.252,2:18.300,5,10.404,2:18.738
3,9.911,2:28.580,0,,,5,10.036,2:28.767,2,9.892,2:28.498,1,10.034,2:28.333,4,9.848,2:28.586
4,9.905,2:38.485,0,,,2,9.555,2:38.322,3,9.835,2:38.333,1,9.948,2:38.281,5,9.961,2:38.548
1,9.658,2:48.143,0,,,4,10.351,2:48.673,2,9.971,2:48.304,3,10.180,2:48.462,5,42.825,3:21.372
1,10.204,2:58.346,0,,,4,10.209,2:58.881,2,10.353,2:58.658,3,10.257,2:58.719,5,37.951,3:59.324
