Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME
4,12.73,12.73,3,12.56,12.56,1,12.21,12.21,2,12.31,12.31,5,12.92,12.92
3,8.97,21.70,4,9.32,21.88,2,9.33,21.54,1,9.22,21.53,5,9.05,21.97
3,9.00,30.70,5,9.25,31.13,2,9.00,30.54,1,8.93,30.46,4,8.95,30.92
3,9.00,39.70,5,9.34,40.47,2,9.03,39.57,1,9.05,39.51,4,8.97,39.89
3,9.12,48.82,5,9.59,50.06,2,9.13,48.70,1,9.12,48.63,4,9.07,48.96
3,9.19,58.01,5,9.99,1:00.05,2,9.20,57.90,1,9.20,57.83,4,9.21,58.17
3,9.19,1:07.20,5,10.62,1:10.67,2,9.26,1:07.16,1,9.25,1:07.08,4,9.24,1:07.41
1,9.15,1:16.35,5,11.08,1:21.75,3,9.34,1:16.50,2,9.35,1:16.43,4,9.37,1:16.78
1,9.56,1:25.91,5,11.27,1:33.02,3,9.61,1:26.11,2,9.59,1:26.02,4,9.56,1:26.34
