AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
3,6.943,6.943,1,6.850,6.850,2,6.866,6.866,4,7.095,7.095
3,9.144,16.087,2,9.074,15.923,1,9.004,15.870,4,9.072,16.167
3,8.727,24.813,2,8.801,24.724,1,8.579,24.448,4,8.759,24.925
2,8.929,33.742,3,9.024,33.748,1,8.965,33.413,4,8.887,33.812
2,9.09,42.831,4,9.17,42.912,1,9.39,42.797,3,9.08,42.890
