Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,13.13,13.13,2,13.20,13.20,3,13.30,13.30,4,13.43,13.43
1,9.69,22.82,2,9.73,22.93,3,9.73,23.03,4,9.70,23.13
1,9.54,32.36,2,9.51,32.44,3,9.50,32.53,4,9.52,32.65
1,9.28,41.64,2,9.27,41.71,4,9.40,41.93,3,9.19,41.84
1,9.09,50.73,2,9.10,50.81,4,9.09,51.02,3,9.05,50.89
2,9.03,59.76,1,8.95,59.76,4,9.03,1:00.05,3,9.00,59.89
2,8.99,1:08.75,1,8.83,1:08.59,4,9.00,1:09.05,3,8.99,1:08.88
2,9.02,1:17.77,1,8.94,1:17.53,4,9.26,1:18.31,3,9.01,1:17.89
2,9.34,1:27.108,1,9.06,1:26.584,4,9.56,1:27.864,3,9.32,1:27.208
