Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME
3,8.940,8.940,5,9.080,9.080,4,8.950,8.950,2,8.840,8.840,1,8.620,8.620
2,12.540,21.480,5,12.610,21.690,4,12.620,21.580,3,12.640,21.490,1,12.570,21.190
3,12.060,33.540,5,12.000,33.690,4,12.050,33.630,2,12.010,33.500,1,12.090,33.280
4,11.740,45.290,5,11.700,45.390,3,11.610,45.250,2,11.740,45.240,1,11.900,45.180
5,10.490,55.780,4,10.280,55.680,3,10.140,55.390,1,10.110,55.350,2,10.190,55.380
5,10.430,1:06.210,4,10.390,1:06.070,3,10.440,1:05.830,1,10.190,1:05.550,2,10.430,1:05.820
5,11.000,1:17.220,4,10.950,1:17.030,3,11.000,1:16.840,1,11.150,1:16.700,2,10.910,1:16.730
5,11.110,1:28.330,4,11.060,1:28.090,3,10.980,1:27.830,2,11.000,1:27.710,1,10.950,1:27.690
5,11.190,1:39.520,4,11.250,1:39.340,3,11.250,1:39.090,1,11.290,1:39.000,2,11.310,1:39.000
5,11.100,1:50.630,4,11.100,1:50.450,3,11.100,1:50.190,2,11.140,1:50.150,1,11.130,1:50.140
5,10.810,2:01.440,4,10.680,2:01.130,2,10.650,2:00.840,3,10.730,2:00.880,1,10.250,2:00.390
5,10.710,2:12.150,4,10.170,2:11.300,3,10.190,2:11.040,2,9.730,2:10.610,1,9.860,2:10.260
5,11.010,2:23.160,4,10.140,2:21.440,2,10.090,2:21.130,3,10.660,2:21.280,1,9.940,2:20.200
5,11.520,2:34.690,4,10.820,2:32.260,2,10.370,2:31.500,3,10.410,2:31.690,1,10.250,2:30.460
