Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME
6,10.308,10.308,3,10.000,10.000,1,9.854,9.854,4,10.102,10.102,2,9.966,9.966,5,10.265,10.265
6,12.672,22.980,4,12.611,22.611,5,12.840,22.694,2,12.300,22.402,1,12.381,22.346,3,12.183,22.448
6,11.480,34.460,4,11.487,34.098,5,11.470,34.164,3,11.632,34.034,1,11.251,33.598,2,11.446,33.894
6,11.695,46.156,5,11.917,46.015,3,11.551,45.715,4,11.907,45.941,1,11.916,45.513,2,11.804,45.698
6,11.080,57.235,5,11.012,57.027,3,11.035,56.750,4,10.956,56.897,1,11.028,56.542,2,10.927,56.625
6,11.167,1:08.403,5,11.052,1:08.079,2,11.054,1:07.804,4,11.084,1:07.981,1,11.024,1:07.566,3,11.208,1:07.833
6,11.230,1:19.633,5,11.339,1:19.419,2,11.242,1:19.045,4,11.298,1:19.279,1,11.318,1:18.884,3,11.267,1:19.100
6,11.550,1:31.182,5,11.414,1:30.832,2,11.482,1:30.527,4,11.497,1:30.776,1,11.502,1:30.386,3,11.475,1:30.576
6,11.610,1:42.792,5,11.085,1:41.917,3,11.194,1:41.721,4,10.967,1:41.743,1,10.889,1:41.275,2,10.887,1:41.463
6,12.098,1:54.890,5,10.355,1:52.271,2,10.294,1:52.014,3,10.278,1:52.022,1,10.588,1:51.864,4,10.607,1:52.070
6,12.729,2:07.620,5,10.588,2:02.860,3,10.562,2:02.576,4,10.739,2:02.760,1,10.451,2:02.314,2,10.442,2:02.512
6,13.133,2:20.753,5,10.301,2:13.161,2,10.204,2:12.780,3,10.043,2:12.803,1,10.296,2:12.610,4,10.299,2:12.811
6,14.453,2:35.205,5,10.158,2:23.320,3,10.229,2:23.008,4,10.333,2:23.137,1,10.169,2:22.779,2,10.148,2:22.959
6,13.703,2:48.909,5,10.537,2:33.857,3,10.327,2:33.335,1,10.095,2:33.231,2,10.535,2:33.313,4,10.421,2:33.380
