PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
2,7.53,7.53,3,7.64,7.64,1,7.28,7.28,4,7.78,7.78
4,22.01,29.54,2,9.59,17.23,1,9.38,16.66,3,9.61,17.39
4,23.64,53.18,2,9.38,26.61,1,9.00,25.66,3,9.35,26.74
4,14.69,1:07.87,2,9.50,36.11,1,9.30,34.96,3,9.47,36.21
4,14.57,1:22.440,2,9.76,45.865,1,9.43,44.385,3,9.66,45.869
