Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,8.04,8.04,1,7.55,7.55,4,8.66,8.66,3,8.20,8.20
2,9.67,17.71,1,9.61,17.16,4,9.59,18.25,3,9.56,17.76
2,9.13,26.84,1,9.16,26.32,4,9.02,27.27,3,9.17,26.93
3,9.20,36.04,1,9.33,35.65,4,9.11,36.38,2,9.10,36.03
3,9.36,45.40,1,9.60,45.25,4,9.15,45.53,2,9.28,45.31
