HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,12.230,12.230,1,12.210,12.210,4,12.510,12.510,3,12.430,12.430
2,9.000,21.230,3,9.030,21.250,1,8.630,21.140,4,8.900,21.340
3,9.320,30.560,1,9.160,30.420,2,9.300,30.440,4,9.290,30.640
1,8.830,39.390,2,9.070,39.490,3,9.170,39.620,4,9.160,39.810
1,8.730,48.130,2,8.840,48.340,3,8.930,48.550,4,8.900,48.710
2,9.070,57.200,1,8.790,57.130,4,8.910,57.460,3,8.750,57.460
1,9.200,1:06.410,2,9.310,1:06.450,3,9.290,1:06.750,4,9.300,1:06.760
1,9.230,1:15.640,2,9.290,1:15.740,3,9.180,1:15.940,4,9.470,1:16.240
1,9.210,1:24.860,2,9.220,1:24.970,3,9.460,1:25.400,4,9.400,1:25.640
