Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,LIN Wei POSITION,LIN Wei LAP TIME,LIN Wei ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,15.25,15.25,3,15.37,15.37,1,15.17,15.17,5,15.73,15.73,4,15.56,15.56
2,10.80,26.05,3,10.78,26.15,1,10.56,25.73,5,10.73,26.46,4,10.72,26.28
3,10.45,36.50,2,10.24,36.39,1,10.59,36.32,5,10.40,36.86,4,10.38,36.66
2,10.10,46.60,3,10.28,46.67,1,10.18,46.50,5,10.12,46.98,4,10.16,46.82
1,10.31,56.91,3,10.34,57.01,2,10.43,56.93,5,10.38,57.36,4,10.36,57.18
2,10.03,1:06.94,1,9.70,1:06.71,4,10.49,1:07.42,5,10.36,1:07.72,3,9.87,1:07.05
2,9.73,1:16.67,1,9.87,1:16.58,4,10.64,1:18.06,5,10.54,1:18.26,3,9.74,1:16.79
2,9.99,1:26.66,1,10.05,1:26.63,4,10.85,1:28.91,5,10.82,1:29.08,3,10.06,1:26.85
0,,notime,0,,notime,0,,notime,0,,notime,0,,notime
