WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
2,14.82,14.82,3,14.84,14.84,1,14.72,14.72,4,14.86,14.86
1,11.01,25.83,2,11.13,25.97,3,11.45,26.17,4,11.41,26.27
1,10.57,36.40,2,10.57,36.54,3,10.50,36.67,4,10.54,36.81
1,10.48,46.88,2,10.46,47.00,3,10.46,47.13,4,10.43,47.24
1,10.43,57.31,2,10.39,57.39,3,10.39,57.52,4,10.34,57.58
1,9.66,1:06.97,2,9.69,1:07.08,3,9.64,1:07.16,4,9.66,1:07.24
1,9.64,1:16.61,3,9.67,1:16.75,2,9.56,1:16.72,4,9.53,1:16.77
2,9.39,1:26.00,4,9.51,1:26.26,1,9.08,1:25.80,3,9.30,1:26.07
2,9.64,1:35.633,3,9.46,1:35.715,1,9.28,1:35.080,4,26.50,1:52.563
