JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,12.96,12.96,2,13.13,13.13,4,13.36,13.36,3,13.25,13.25,5,13.48,
1,10.54,23.50,2,10.47,23.60,4,20.52,33.88,3,10.45,23.70,5,21.64,
1,9.92,33.42,2,9.95,33.55,4,20.02,53.90,3,9.92,33.62,5,21.50,
1,9.59,43.01,2,9.55,43.10,4,11.71,1:05.61,3,9.49,43.11,5,13.27,
1,9.38,52.39,3,9.51,52.61,4,11.22,1:16.83,2,9.38,52.49,5,13.77,
2,9.39,1:01.78,3,9.31,1:01.92,4,11.25,1:28.08,1,9.26,1:01.75,5,12.07,
1,9.31,1:11.09,3,9.37,1:11.29,4,11.10,1:39.18,2,9.45,1:11.20,5,11.88,
1,9.44,1:20.53,2,9.36,1:20.65,4,10.87,1:50.05,3,9.62,1:20.82,5,11.65,
1,9.71,1:30.24,2,9.63,1:30.28,4,10.84,2:00.870,3,9.56,1:30.38,5,12.18,
