Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
4,9.46,9.46,5,9.75,9.75,1,9.23,9.23,6,9.91,9.91,3,9.40,9.40,2,9.33,9.33
4,11.75,21.21,5,11.56,21.31,1,11.72,20.95,6,11.53,21.44,3,11.73,21.13,2,11.72,21.05
4,11.46,32.67,5,11.47,32.78,1,11.36,32.31,6,11.49,32.93,2,11.29,32.42,3,11.50,32.55
4,11.46,44.13,5,11.45,44.23,1,11.48,43.79,6,11.45,44.38,2,11.49,43.91,3,11.47,44.02
5,11.21,55.34,6,11.23,55.46,1,11.18,54.97,4,10.87,55.25,3,11.18,55.09,2,11.04,55.06
5,10.63,1:05.97,6,10.60,1:06.06,1,10.66,1:05.63,3,10.54,1:05.79,4,10.72,1:05.81,2,10.67,1:05.73
5,10.12,1:16.09,6,10.10,1:16.16,1,10.05,1:15.68,4,10.19,1:15.98,2,9.96,1:15.77,3,10.13,1:15.86
5,9.64,1:25.73,6,9.66,1:25.82,1,9.56,1:25.24,3,9.50,1:25.48,4,9.73,1:25.50,2,9.43,1:25.29
5,9.29,1:35.02,6,9.30,1:35.12,1,9.32,1:34.56,3,9.30,1:34.78,4,9.39,1:34.89,2,9.37,1:34.66
5,9.32,1:44.34,6,9.30,1:44.42,1,9.35,1:43.91,3,9.37,1:44.15,4,9.35,1:44.24,2,9.32,1:43.98
5,9.25,1:53.59,6,9.27,1:53.69,1,9.20,1:53.11,3,9.14,1:53.29,4,9.25,1:53.49,2,9.22,1:53.20
5,9.32,2:02.91,6,9.34,2:03.03,1,9.18,2:02.29,2,9.08,2:02.37,4,9.36,2:02.85,3,9.33,2:02.53
4,9.56,2:12.47,6,9.76,2:12.79,1,9.21,2:11.50,2,9.23,2:11.60,5,9.86,2:12.71,3,9.21,2:11.74
4,9.84,2:22.31,6,10.06,2:22.85,2,9.32,2:20.82,1,9.16,2:20.76,5,10.05,2:22.76,3,9.32,2:21.06
