Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
3,9.94,9.94,4,9.99,9.99,5,10.24,10.24,2,9.89,9.89,1,9.87,9.87
1,12.71,22.65,3,12.80,22.79,5,12.96,23.20,4,13.08,22.97,2,12.87,22.74
3,12.53,35.18,1,12.06,34.85,5,12.19,35.39,4,12.36,35.33,2,12.34,35.08
3,12.46,47.64,2,12.70,47.55,5,12.60,47.99,4,12.47,47.80,1,12.37,47.45
3,11.95,59.59,2,11.96,59.51,5,12.04,1:00.03,4,12.05,59.85,1,12.03,59.48
4,10.98,1:10.57,2,10.99,1:10.50,5,10.94,1:10.97,3,10.66,1:10.51,1,10.87,1:10.35
4,10.90,1:21.47,1,10.79,1:21.29,5,10.75,1:21.72,3,10.91,1:21.42,2,11.06,1:21.41
4,10.34,1:31.81,3,10.50,1:31.79,5,10.80,1:32.52,2,10.34,1:31.76,1,10.17,1:31.58
2,9.86,1:41.67,4,10.15,1:41.94,5,11.13,1:43.65,3,10.12,1:41.88,1,10.04,1:41.62
2,9.54,1:51.21,3,9.34,1:51.28,5,11.56,1:55.21,4,9.58,1:51.46,1,9.54,1:51.16
4,9.53,2:00.74,3,9.41,2:00.69,5,11.76,2:06.97,2,9.18,2:00.64,1,9.34,2:00.50
4,9.37,2:10.11,3,9.13,2:09.82,5,13.06,2:20.03,2,9.07,2:09.71,1,9.01,2:09.51
4,9.04,2:19.15,2,9.08,2:18.90,5,12.68,2:32.71,3,9.19,2:18.90,1,9.18,2:18.69
4,9.12,2:28.271,2,9.06,2:27.955,5,12.78,2:45.488,3,9.10,2:28.000,1,9.25,2:27.933
