Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Emma COXON-SMITH POSITION,Emma COXON-SMITH LAP TIME,Emma COXON-SMITH ELAPSED TIME
3,7.50,7.50,1,7.29,7.29,2,7.33,7.33,4,7.91,7.91
3,9.68,17.18,1,9.55,16.85,2,9.55,16.89,4,10.64,18.55
0,,,1,9.12,25.97,2,9.10,25.99,3,10.38,28.93
0,,,2,9.35,35.33,1,9.32,35.32,3,10.70,39.64
0,,DNS,1,9.62,44.942,2,9.82,45.139,3,11.23,50.866
