WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME
2,13.51,13.51,3,13.57,13.57,1,13.45,13.45,4,13.64,13.64
1,10.06,23.57,2,10.18,23.75,3,10.36,23.81,4,10.30,23.94
4,11.14,34.71,1,10.19,33.94,3,10.25,34.06,2,10.06,34.00
2,8.97,43.68,3,9.79,43.73,4,9.77,43.83,1,9.64,43.64
1,9.34,53.02,3,9.48,53.21,4,9.56,53.39,2,9.52,53.16
1,9.71,1:02.73,3,9.74,1:02.95,4,9.65,1:03.04,2,9.75,1:02.91
3,10.05,1:12.78,2,9.82,1:12.77,4,10.00,1:13.04,1,9.65,1:12.56
1,9.67,1:22.45,2,9.94,1:22.71,4,10.48,1:23.52,3,10.33,1:22.89
1,10.18,1:32.622,0,,DQ,3,10.62,1:34.135,2,9.79,1:32.677
