ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
1,7.03,7.03,2,7.16,7.16,3,7.44,7.44,4,7.46,7.46
2,9.31,16.34,1,9.14,16.30,4,9.57,17.01,3,9.40,16.86
2,8.98,25.32,1,8.71,25.01,4,9.28,26.29,3,9.03,25.89
2,9.06,34.38,1,8.73,33.74,4,9.27,35.56,3,9.34,35.23
2,9.53,43.894,1,9.08,42.798,3,,44.902,4,,44.903
