Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME
0,9.633,9.633,0,9.327,9.327,0,9.306,9.306,0,9.707,9.707,0,9.606,9.606,0,9.493,9.493
0,11.900,21.533,0,12.084,21.411,0,11.899,21.204,0,11.976,21.683,0,11.774,21.379,0,12.379,21.872
0,11.443,32.976,0,11.474,32.885,0,11.518,32.722,0,11.518,33.201,0,11.402,32.781,0,11.494,33.366
0,12.264,45.240,0,12.185,45.070,0,12.159,44.881,0,11.954,45.155,0,12.248,45.029,0,11.642,45.008
0,10.760,56.000,0,10.607,55.677,0,10.427,55.308,0,10.337,55.493,0,10.478,55.507,0,10.551,55.558
0,10.148,1:06.148,0,10.145,1:05.822,0,10.682,1:05.990,0,10.560,1:06.053,0,10.320,1:05.827,0,10.453,1:06.011
0,10.193,1:16.341,0,10.402,1:16.224,0,10.236,1:16.226,0,10.058,1:16.111,0,10.097,1:15.924,0,10.412,1:16.424
0,10.375,1:26.716,0,10.290,1:26.514,0,10.378,1:26.604,0,10.426,1:26.537,0,10.319,1:26.243,0,10.389,1:26.812
0,10.083,1:36.798,0,10.059,1:36.573,0,10.057,1:36.661,0,9.888,1:36.424,0,10.154,1:36.397,0,9.948,1:36.760
0,32.996,2:09.794,0,10.075,1:46.647,0,36.105,2:12.766,0,10.230,1:46.654,0,10.039,1:46.436,0,12.156,1:48.916
0,15.823,2:25.617,0,10.180,1:56.828,0,17.123,2:29.889,0,10.100,1:56.754,0,10.320,1:56.756,0,10.902,1:59.818
0,13.276,2:38.893,0,10.118,2:06.946,0,12.432,2:42.321,0,10.263,2:07.018,0,10.178,2:06.933,0,11.538,2:11.356
0,12.821,2:51.714,0,10.162,2:17.108,0,11.893,2:54.213,0,10.270,2:17.288,0,10.011,2:16.944,0,11.722,2:23.078
0,12.809,3:04.523,0,10.267,2:27.375,0,12.194,3:06.408,0,9.648,2:26.936,0,10.178,2:27.122,0,11.325,2:34.403
