GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME
1,15.20,15.20,2,15.32,15.32,3,15.45,15.45,4,15.58,15.58,5,15.70,15.70
1,11.87,27.07,2,11.87,27.19,3,11.92,27.37,4,12.01,27.59,5,12.01,27.71
1,10.71,37.78,2,10.71,37.90,3,10.57,37.94,4,10.62,38.21,5,10.63,38.34
2,9.64,47.42,3,9.62,47.52,1,9.15,47.09,4,9.39,47.60,5,9.35,47.69
2,9.15,56.57,5,9.52,57.04,1,8.87,55.96,3,9.10,56.70,4,9.12,56.81
3,9.16,1:05.73,5,9.27,1:06.31,1,8.88,1:04.84,2,8.74,1:05.44,4,9.17,1:05.98
3,9.26,1:14.99,5,9.46,1:15.77,1,9.05,1:13.89,2,8.74,1:14.18,4,9.31,1:15.29
3,9.57,1:24.56,5,9.65,1:25.42,2,9.27,1:23.16,1,8.96,1:23.14,4,9.76,1:25.05
3,9.86,1:34.42,5,9.81,1:35.23,2,9.41,1:32.57,1,9.23,1:32.37,4,10.00,1:35.05
