Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.937,6.937,2,7.078,7.078,3,7.222,7.222,4,7.478,7.478
1,9.375,16.312,2,9.325,16.402,4,30.727,37.948,3,9.385,16.863
2,9.404,25.716,1,9.226,25.628,4,25.609,1:03.557,3,9.062,25.924
3,9.592,35.307,1,9.262,34.889,4,15.831,1:19.388,2,9.214,35.138
3,9.69,44.992,1,9.59,44.474,4,14.27,1:33.657,2,9.57,44.702
