Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
3,14.890,14.890,1,14.740,14.740,2,14.871,14.871,4,15.094,15.094
3,11.104,25.993,2,11.212,25.951,4,11.217,26.088,1,10.836,25.930
2,10.198,36.191,4,10.389,36.339,3,10.128,36.216,1,10.165,36.095
1,9.882,46.073,2,9.948,46.287,3,18.688,54.903,4,21.522,57.617
1,10.068,56.141,2,10.019,56.305,3,11.854,1:06.757,4,10.745,1:08.361
1,10.195,1:06.335,2,10.236,1:06.540,3,10.162,1:16.918,4,10.751,1:19.112
1,10.376,1:16.710,2,10.265,1:16.805,3,10.259,1:27.177,4,11.333,1:30.445
2,10.260,1:26.970,1,9.936,1:26.741,3,10.566,1:37.742,4,11.946,1:42.391
2,10.80,1:37.765,1,10.24,1:36.975,0,,DQ,3,12.09,1:54.476
