Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Alina TARASOV POSITION,Alina TARASOV LAP TIME,Alina TARASOV ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Erin BARTLETT POSITION,Erin BARTLETT LAP TIME,Erin BARTLETT ELAPSED TIME
2,8.629,8.629,1,8.465,8.465,5,9.065,9.065,3,8.648,8.648,4,8.696,8.696
2,12.260,20.890,1,12.182,20.647,5,12.315,21.380,4,12.472,21.120,3,12.387,21.084
2,11.927,32.817,1,11.956,32.604,5,11.781,33.161,4,11.968,33.088,3,11.935,33.019
2,11.804,44.621,1,11.795,44.399,5,11.889,45.050,4,11.755,44.843,3,11.719,44.738
2,11.815,56.436,1,11.891,56.290,5,11.744,56.794,4,11.694,56.537,3,11.734,56.472
2,11.693,1:08.130,1,11.628,1:07.918,5,11.683,1:08.477,3,11.723,1:08.260,4,11.895,1:08.368
2,11.411,1:19.541,1,11.418,1:19.336,5,11.397,1:19.874,4,11.428,1:19.687,3,11.298,1:19.666
2,10.671,1:30.212,1,10.737,1:30.073,5,10.816,1:30.690,3,10.643,1:30.330,4,10.715,1:30.380
2,10.558,1:40.770,1,10.508,1:40.581,5,10.839,1:41.529,3,10.561,1:40.891,4,10.627,1:41.007
2,10.541,1:51.311,1,10.553,1:51.134,5,11.218,1:52.747,3,10.565,1:51.456,4,10.463,1:51.470
2,10.679,2:01.990,1,10.677,2:01.811,5,11.789,2:04.536,4,10.661,2:02.117,3,10.637,2:02.107
2,10.721,2:12.711,1,10.697,2:12.508,5,12.364,2:16.900,3,10.747,2:12.864,4,10.802,2:12.909
2,10.847,2:23.558,1,10.841,2:23.349,5,12.575,2:29.475,4,10.900,2:23.764,3,10.775,2:23.683
2,10.976,2:34.533,1,10.851,2:34.200,5,12.710,2:42.185,3,10.910,2:34.674,4,10.996,2:34.680
