SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,13.81,13.81,3,13.96,13.96,2,13.82,13.82,4,14.21,14.21
2,9.71,23.52,3,9.63,23.59,1,9.58,23.40,4,9.64,23.85
2,9.46,32.98,3,9.49,33.08,1,9.47,32.87,4,9.44,33.29
1,9.13,42.11,3,9.19,42.27,2,9.25,42.12,4,9.18,42.47
1,8.95,51.06,3,8.96,51.23,2,9.00,51.12,4,8.93,51.40
1,8.90,59.96,3,8.98,1:00.21,2,8.96,1:00.08,4,8.96,1:00.36
1,8.93,1:08.89,3,8.91,1:09.12,2,8.90,1:08.98,4,8.87,1:09.23
1,8.73,1:17.62,3,8.78,1:17.90,2,8.76,1:17.74,4,8.78,1:18.01
1,8.82,1:26.44,3,8.77,1:26.67,2,8.78,1:26.52,4,8.96,1:26.97
