Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
1,7.10,7.10,2,7.23,7.23,3,7.36,7.36,4,7.52,7.52
2,9.22,16.32,1,9.09,16.32,3,9.77,17.13,4,9.68,17.20
2,8.77,25.09,1,8.54,24.86,4,9.76,26.89,3,9.40,26.60
2,8.86,33.95,1,8.91,33.77,4,9.87,36.76,3,9.56,36.16
2,9.06,43.004,1,9.07,42.833,4,10.04,46.796,3,9.90,46.057
