Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,8.23,8.23,2,8.36,8.36,5,8.91,8.91,3,8.63,8.63,4,8.75,8.75
1,11.34,19.57,2,11.36,19.72,5,11.25,20.16,3,11.27,19.90,4,11.27,20.02
1,10.50,30.07,2,10.47,30.19,5,10.44,30.60,3,10.47,30.37,4,10.47,30.49
1,10.30,40.37,2,10.30,40.49,5,10.28,40.88,3,10.28,40.65,4,10.26,40.75
1,10.15,50.52,2,10.16,50.65,5,10.19,51.07,3,10.15,50.80,4,10.16,50.91
1,10.16,1:00.68,2,10.13,1:00.78,5,10.07,1:01.14,3,10.15,1:00.95,4,10.15,1:01.06
1,10.15,1:10.83,2,10.16,1:10.94,5,10.11,1:11.25,3,10.13,1:11.08,4,10.09,1:11.15
2,10.37,1:21.20,1,10.18,1:21.12,5,10.31,1:21.56,3,10.24,1:21.32,4,10.31,1:21.46
5,10.31,1:31.51,3,10.27,1:31.39,4,9.93,1:31.49,1,9.96,1:31.28,2,9.85,1:31.31
5,9.94,1:41.45,4,9.93,1:41.32,2,9.65,1:41.14,1,9.79,1:41.07,3,9.85,1:41.16
5,9.82,1:51.27,4,9.82,1:51.14,2,9.78,1:50.92,1,9.77,1:50.84,3,9.86,1:51.02
5,9.65,2:00.92,4,9.65,2:00.79,1,9.56,2:00.48,2,9.68,2:00.52,3,9.61,2:00.63
5,9.88,2:10.80,4,9.73,2:10.52,1,9.43,2:09.91,2,9.54,2:10.06,3,9.49,2:10.12
5,10.40,2:21.200,4,9.91,2:20.429,1,9.60,2:19.502,2,9.52,2:19.580,3,9.55,2:19.668
