LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
3,13.830,13.830,1,13.700,13.700,2,13.780,13.780,4,14.000,14.000
1,10.140,23.970,2,10.430,24.140,3,10.440,24.220,4,10.450,24.460
2,9.910,33.890,3,9.900,34.040,1,9.650,33.880,4,9.800,34.260
4,10.140,44.040,1,9.470,43.510,2,9.750,43.640,3,9.570,43.840
3,9.400,53.440,1,9.670,53.180,2,9.650,53.290,4,9.610,53.450
4,9.530,1:02.970,2,9.570,1:02.760,3,9.620,1:02.920,1,9.210,1:02.670
4,9.510,1:12.480,2,9.540,1:12.300,3,9.470,1:12.390,1,9.450,1:12.130
4,9.540,1:22.030,2,9.460,1:21.760,3,9.580,1:21.980,1,9.460,1:21.590
3,9.460,1:31.490,2,9.710,1:31.480,4,10.460,1:32.450,1,9.600,1:31.190
