Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,6.98,6.98,1,6.80,6.80,3,7.01,7.01,4,7.15,7.15
2,8.89,15.87,1,8.95,15.75,3,9.03,16.04,4,9.05,16.20
1,8.30,24.17,2,8.53,24.28,3,8.39,24.43,4,8.48,24.68
1,8.56,32.73,2,8.64,32.92,3,8.57,33.00,4,8.67,33.35
1,8.65,41.373,2,8.80,41.717,3,8.74,41.739,4,8.91,42.256
